8E         ADC A,(HL)
DD65       LD IXh,IXl
DD26 n     LD IXh,n
DD6F       LD IXl,A
DD68       LD IXl,B
DD69       LD IXl,C
DD6A       LD IXl,D
DD6B       LD IXl,E
DD6C       LD IXl,IXh
DD6D       LD IXl,IXl
DD2E n     LD IXl,n
FD2A nn    LD IY,(nn)
FD21 nn    LD IY,nn
FD67       LD IYh,A
FD60       LD IYh,B
FD61       LD IYh,C
FD62       LD IYh,D
FD63       LD IYh,E
FD64       LD IYh,IYh
FD65       LD IYh,IYl
FD26 n     LD IYh,n
FD6F       LD IYl,A
FD68       LD IYl,B
FD69       LD IYl,C
FD6A       LD IYl,D
FD6B       LD IYl,E
FD6C       LD IYl,IYh
FD6D       LD IYl,IYl
FD2E n     LD IYl,n
6E         LD L,(HL)
DD6E d     LD L,(IX+d)
FD6E d     LD L,(IY+d)
6F         LD L,A
68         LD L,B
69         LD L,C
6A         LD L,D
6B         LD L,E
6C         LD L,H
6D         LD L,L
2E n       LD L,n
DDCB d 85  LD L,RES 0,(IX+d)
FDCB d 85  LD L,RES 0,(IY+d)
DDCB d 8D  LD L,RES 1,(IX+d)
FDCB d 8D  LD L,RES 1,(IY+d)
DDCB d 95  LD L,RES 2,(IX+d)
FDCB d 95  LD L,RES 2,(IY+d)
DDCB d 9D  LD L,RES 3,(IX+d)
FDCB d 9D  LD L,RES 3,(IY+d)
DDCB d A5  LD L,RES 4,(IX+d)
FDCB d A5  LD L,RES 4,(IY+d)
DDCB d AD  LD L,RES 5,(IX+d)
FDCB d AD  LD L,RES 5,(IY+d)
DDCB d B5  LD L,RES 6,(IX+d)
FDCB d B5  LD L,RES 6,(IY+d)
DDCB d BD  LD L,RES 7,(IX+d)
FDCB d BD  LD L,RES 7,(IY+d)
DDCB d 15  LD L,RL (IX+d)
FDCB d 15  LD L,RL (IY+d)
DDCB d 05  LD L,RLC (IX+d)
FDCB d 05  LD L,RLC (IY+d)
DDCB d 1D  LD L,RR (IX+d)
FDCB d 1D  LD L,RR (IY+d)
DDCB d 0D  LD L,RRC (IX+d)
FDCB d 0D  LD L,RRC (IY+d)
DDCB d C5  LD L,SET 0,(IX+d)
FDCB d C5  LD L,SET 0,(IY+d)
DDCB d CD  LD L,SET 1,(IX+d)
FDCB d CD  LD L,SET 1,(IY+d)
DDCB d D5  LD L,SET 2,(IX+d)
FDCB d D5  LD L,SET 2,(IY+d)
DDCB d DD  LD L,SET 3,(IX+d)
FDCB d DD  LD L,SET 3,(IY+d)
DDCB d E5  LD L,SET 4,(IX+d)
FDCB d E5  LD L,SET 4,(IY+d)
DDCB d ED  LD L,SET 5,(IX+d)
FDCB d ED  LD L,SET 5,(IY+d)
DDCB d F5  LD L,SET 6,(IX+d)
FDCB d F5  LD L,SET 6,(IY+d)
DDCB d FD  LD L,SET 7,(IX+d)
FDCB d FD  LD L,SET 7,(IY+d)
DDCB d 25  LD L,SLA (IX+d)
FDCB d 25  LD L,SLA (IY+d)
DDCB d 35  LD L,SLL (IX+d)
FDCB d 35  LD L,SLL (IY+d)
DDCB d 2D  LD L,SRA (IX+d)
FDCB d 2D  LD L,SRA (IY+d)
DDCB d 3D  LD L,SRL (IX+d)
FDCB d 3D  LD L,SRL (IY+d)
ED4F       LD R,A
ED7B nn    LD SP,(nn)
F9         LD SP,HL
DDF9       LD SP,IX
FDF9       LD SP,IY
31 nn      LD SP,nn
EDA8       LDD
EDB8       LDDR
EDA0       LDI
EDB0       LDIR
ED44       NEG
ED64       NEG
ED6C       NEG
ED74       NEG
ED5C       NEG
ED7C       NEG
ED54       NEG
ED4C       NEG
00         NOP
B6         OR (HL)
DDB6 d     OR (IX+d)
FDB6 d     OR (IY+d)
B7         OR A
B0         OR B
B1         OR C
B2         OR D
B3         OR E
B4         OR H
DDB4       OR IXh
DDB5       OR IXl
FDB4       OR IYh
FDB5       OR IYl
B5         OR L
F6 n       OR n
EDBB       OTDR
EDB3       OTIR
ED71       OUT (C),0
ED79       OUT (C),A
ED41       OUT (C),B
ED49       OUT (C),C
ED51       OUT (C),D
ED59       OUT (C),E
ED61       OUT (C),H
ED69       OUT (C),L
D3 n       OUT (n),A
EDAB       OUTD
EDA3       OUTI
F1         POP AF
C1         POP BC
D1         POP DE
E1         POP HL
DDE1       POP IX
FDE1       POP IY
F5         PUSH AF
C5         PUSH BC
D5         PUSH DE
E5         PUSH HL
DDE5       PUSH IX
FDE5       PUSH IY
CB86       RES 0,(HL)
DDCB d 86  RES 0,(IX+d)
FDCB d 86  RES 0,(IY+d)
CB87       RES 0,A
CB80       RES 0,B
CB81       RES 0,C
CB82       RES 0,D
CB83       RES 0,E
CB84       RES 0,H
CB85       RES 0,L
CB8E       RES 1,(HL)
DDCB d 8E  RES 1,(IX+d)
FDCB d 8E  RES 1,(IY+d)
CB8F       RES 1,A
CB88       RES 1,B
CB89       RES 1,C
CB8A       RES 1,D
CB8B       RES 1,E
CB8C       RES 1,H
CB8D       RES 1,L
CB96       RES 2,(HL)
DDCB d 96  RES 2,(IX+d)
FDCB d 96  RES 2,(IY+d)
CB97       RES 2,A
CB90       RES 2,B
CB91       RES 2,C
CB92       RES 2,D
CB93       RES 2,E
CB94       RES 2,H
CB95       RES 2,L
CB9E       RES 3,(HL)
DDCB d 9E  RES 3,(IX+d)
FDCB d 9E  RES 3,(IY+d)
CB9F       RES 3,A
CB98       RES 3,B
CB99       RES 3,C
CB9A       RES 3,D
CB9B       RES 3,E
CB9C       RES 3,H
CB9D       RES 3,L
CBA6       RES 4,(HL)
DDCB d A6  RES 4,(IX+d)
FDCB d A6  RES 4,(IY+d)
CBA7       RES 4,A
CBA0       RES 4,B
CBA1       RES 4,C
CBA2       RES 4,D
CBA3       RES 4,E
CBA4       RES 4,H
CBA5       RES 4,L
CBAE       RES 5,(HL)
DDCB d AE  RES 5,(IX+d)
FDCB d AE  RES 5,(IY+d)
CBAF       RES 5,A
CBA8       RES 5,B
CBA9       RES 5,C
CBAA       RES 5,D
CBAB       RES 5,E
CBAC       RES 5,H
CBAD       RES 5,L
CBB6       RES 6,(HL)
DDCB d B6  RES 6,(IX+d)
FDCB d B6  RES 6,(IY+d)
CBB7       RES 6,A
CBB0       RES 6,B
CBB1       RES 6,C
CBB2       RES 6,D
CBB3       RES 6,E
CBB4       RES 6,H
CBB5       RES 6,L
CBBE       RES 7,(HL)
DDCB d BE  RES 7,(IX+d)
FDCB d BE  RES 7,(IY+d)
CBBF       RES 7,A
CBB8       RES 7,B
CBB9       RES 7,C
CBBA       RES 7,D
CBBB       RES 7,E
CBBC       RES 7,H
CBBD       RES 7,L
C9         RET
D8         RET C
F8         RET M
D0         RET NC
C0         RET NZ
F0         RET P
E8         RET PE
E0         RET PO
C8         RET Z
ED4D       RETI
ED45       RETN
ED55       RETN
ED65       RETN
ED5D       RETN
ED75       RETN
ED6D       RETN
ED7D       RETN
CB16       RL (HL)
DDCB d 16  RL (IX+d)
FDCB d 16  RL (IY+d)
CB17       RL A
CB10       RL B
CB11       RL C
CB12       RL D
CB13       RL E
CB14       RL H
CB15       RL L
17         RLA
CB06       RLC (HL)
DDCB d 06  RLC (IX+d)
FDCB d 06  RLC (IY+d)
CB07       RLC A
CB00       RLC B
CB01       RLC C
CB02       RLC D
CB03       RLC E
CB04       RLC H
CB05       RLC L
07         RLCA
ED6F       RLD
CB1E       RR (HL)
DDCB d 1E  RR (IX+d)
FDCB d 1E  RR (IY+d)
CB1F       RR A
CB18       RR B
CB19       RR C
CB1A       RR D
CB1B       RR E
CB1C       RR H
CB1D       RR L
1F         RRA
CB0E       RRC (HL)
DDCB d 0E  RRC (IX+d)
FDCB d 0E  RRC (IY+d)
CB0F       RRC A
CB08       RRC B
CB09       RRC C
CB0A       RRC D
CB0B       RRC E
CB0C       RRC H
CB0D       RRC L
0F         RRCA
ED67       RRD
C7         RST 0H
D7         RST 10H
DF         RST 18H
E7         RST 20H
EF         RST 28H
F7         RST 30H
FF         RST 38H
CF         RST 8H
9E         SBC A,(HL)
DD9E d     SBC A,(IX+d)
FD9E d     SBC A,(IY+d)
9F         SBC A,A
98         SBC A,B
99         SBC A,C
9A         SBC A,D
9B         SBC A,E
9C         SBC A,H
DD9C       SBC A,IXh
DD9D       SBC A,IXl
FD9C       SBC A,IYh
FD9D       SBC A,IYl
9D         SBC A,L
DE n       SBC A,n
ED42       SBC HL,BC
ED52       SBC HL,DE
ED62       SBC HL,HL
ED72       SBC HL,SP
37         SCF
CBC6       SET 0,(HL)
DDCB d C6  SET 0,(IX+d)
FDCB d C6  SET 0,(IY+d)
CBC7       SET 0,A
CBC0       SET 0,B
CBC1       SET 0,C
CBC2       SET 0,D
CBC3       SET 0,E
CBC4       SET 0,H
CBC5       SET 0,L
CBCE       SET 1,(HL)
DDCB d CE  SET 1,(IX+d)
FDCB d CE  SET 1,(IY+d)
CBCF       SET 1,A
CBC8       SET 1,B
CBC9       SET 1,C
CBCA       SET 1,D
CBCB       SET 1,E
CBCC       SET 1,H
CBCD       SET 1,L
CBD6       SET 2,(HL)
DDCB d D6  SET 2,(IX+d)
FDCB d D6  SET 2,(IY+d)
CBD7       SET 2,A
CBD0       SET 2,B
CBD1       SET 2,C
CBD2       SET 2,D
CBD3       SET 2,E
CBD4       SET 2,H
CBD5       SET 2,L
CBDE       SET 3,(HL)
DDCB d DE  SET 3,(IX+d)
FDCB d DE  SET 3,(IY+d)
CBDF       SET 3,A
CBD8       SET 3,B
CBD9       SET 3,C
CBDA       SET 3,D
CBDB       SET 3,E
CBDC       SET 3,H
CBDD       SET 3,L
CBE6       SET 4,(HL)
DDCB d E6  SET 4,(IX+d)
FDCB d E6  SET 4,(IY+d)
CBE7       SET 4,A
CBE0       SET 4,B
CBE1       SET 4,C
CBE2       SET 4,D
CBE3       SET 4,E
CBE4       SET 4,H
CBE5       SET 4,L
CBEE       SET 5,(HL)
DDCB d EE  SET 5,(IX+d)
FDCB d EE  SET 5,(IY+d)
CBEF       SET 5,A
CBE8       SET 5,B
CBE9       SET 5,C
CBEA       SET 5,D
CBEB       SET 5,E
CBEC       SET 5,H
CBED       SET 5,L
CBF6       SET 6,(HL)
DDCB d F6  SET 6,(IX+d)
FDCB d F6  SET 6,(IY+d)
CBF7       SET 6,A
CBF0       SET 6,B
CBF1       SET 6,C
CBF2       SET 6,D
CBF3       SET 6,E
CBF4       SET 6,H
CBF5       SET 6,L
CBFE       SET 7,(HL)
DDCB d FE  SET 7,(IX+d)
FDCB d FE  SET 7,(IY+d)
CBFF       SET 7,A
CBF8       SET 7,B
CBF9       SET 7,C
CBFA       SET 7,D
CBFB       SET 7,E
CBFC       SET 7,H
CBFD       SET 7,L
CB26       SLA (HL)
DDCB d 26  SLA (IX+d)
FDCB d 26  SLA (IY+d)
CB27       SLA A
CB20       SLA B
CB21       SLA C
CB22       SLA D
CB23       SLA E
CB24       SLA H
CB25       SLA L
CB36       SLL (HL)
DDCB d 36  SLL (IX+d)
FDCB d 36  SLL (IY+d)
CB37       SLL A
CB30       SLL B
CB31       SLL C
CB32       SLL D
CB33       SLL E
CB34       SLL H
CB35       SLL L
CB2E       SRA (HL)
DDCB d 2E  SRA (IX+d)
FDCB d 2E  SRA (IY+d)
CB2F       SRA A
CB28       SRA B
CB29       SRA C
CB2A       SRA D
CB2B       SRA E
CB2C       SRA H
CB2D       SRA L
CB3E       SRL (HL)
DDCB d 3E  SRL (IX+d)
FDCB d 3E  SRL (IY+d)
CB3F       SRL A
CB38       SRL B
CB39       SRL C
CB3A       SRL D
CB3B       SRL E
CB3C       SRL H
CB3D       SRL L
96         SUB A,(HL)
DD96 d     SUB A,(IX+d)
FD96 d     SUB A,(IY+d)
97         SUB A,A
90         SUB A,B
91         SUB A,C
92         SUB A,D
93         SUB A,E
94         SUB A,H
DD94       SUB A,IXh
DD95       SUB A,IXl
FD94       SUB A,IYh
FD95       SUB A,IYl
95         SUB A,L
D6 n       SUB A,n
AE         XOR (HL)
DDAE d     XOR (IX+d)
FDAE d     XOR (IY+d)
AF         XOR A
A8         XOR B
A9         XOR C
AA         XOR D
AB         XOR E
AC         XOR H
DDAC       XOR IXh
DDAD       XOR IXl
FDAC       XOR IYh
FDAD       XOR IYl
AD         XOR L
EE n       XOR n
